ystem,Dataset,Model,"# of nodes",Baseline Time (s),Algorithm,Algo. Time (s),Speedup
"*Piz Daint",3*Webspam,LR,32,2.40 (2.16),3*,0.68 (0.35),3.53 (6.17)
"",,SVM,32,1.62 (1.42),,0.65 (0.44),2.49 (3.23)
"*Piz Daint",3*URL,LR,32,2.64 (2.58),3*,0.75 (0.70),3.52 (3.69)
"",,SVM,32,1.98 (1.93),,0.56 (0.53),3.54 (3.64)
"*Piz Daint",Webspam,LR,8,4.67 (3.79),2*,2.56 (1.58),1.82 (2.40)
"",URL,LR,8,3.77 (3.53),,2.09 (1.50),1.80 (2.35)
"*Greina (IB)",Webspam,LR,8,6.52 (4.67),2*,3.63 (1.90),1.80 (2.46)
"",URL,LR,8,8.14 (4.47),,6.11 (2.49),1.33 (1.80)
"*Greina (GigE)",Webspam,LR,8,76.80 (75.95),2*,3.79 (2.95),20.26 (25.75)
"",URL,LR,8,104.50 (100.46),,8.26 (4.22),12.65 (23.81)
